name,tweet_volume
#MamtaBanerjee,null
#1MOTS7AlbumAllFormat,191017
#IFPIGlobalAlbumAllFormatChart,291353
Stop Fake News On SSR,44065
#WhatDoYouBelieveIn,1995003
#GlanceBeatsInstagram,null
BTS PAVED THE WAY,88247
BTS WORLD DOMINATION,71539
Drama,203859
prashant kishore,null
Bambi,221151
Nautanki,null
ETERNAL LOVE OF ASYA,null
RM1 IS COMING,null
HYBE,298808
Congratulations Captain,null
baekhyun,482701
bighit,1135023
Oscar,80406
SSKM,null
MAP OF THE SOUL,299628
Congratulations BTS,290528
Salem,13993
Sympathy,32011
rashami as palak in tandoor,50525
JinHit,47396
I BELIEVE IN YOU,84171
Chief Minister,24400
kim taehyung,160122
your video,502767
Woodward,null
"India's GDP",null
WHAT IS HAPPENING,53733
Kunal,null
Kejriwal,16462
Security,344011
herath,null
selcas,45762
No Politics In SSR Case,149098
Election Commission,13338
राम राज्य,null
Mahesh,17475
#PSPK27FirstLookTmrw,125953
#BJPinAssamAgain,null
#AashirwadMuhim,null
#Zomato,null
#Blessings,null
#boycottToofan,null
#ममता_बनर्जी,null
#पाखंडियों_शर्म_करो,11370
#INDvENG,56889
#1YearWithSweetNight,288307
#OurProducerBeomgyu,565357
Kohli,42019
Say No To Bollywood,41626
#INDvsENG_2021,null
Rohit,37391
#6YearsWithAwakening,69413
Jason Roy,null
England,103170
Dhawan,null
Iyer,11818
Pant,20035
Bairstow,null
YAAD TERI HITS 40M,85747
Archer,17214
Maths and Physics,null
Happy 1,692506
Ayurveda,14425
ARIJIT SINGH TURNS COMPOSER,11722
tom holland,72495
AAMIR KHAN BIRTHDAY CDP,15123
Morgan,75276
Buttler,null
Chahal,null
MOST GOOGLED STAR ASIM,168954
Hardik,null
Malan,null
Indo-Pacific,null
Engineering,38364
Jordan,138880
Match,204676
Ishan Kishan,null
Gautam Adani,null
T-20,108868
Washi,null
Rashid,null
#어여쁜_꽃처럼_피어난_범규의_스물하나,229207
#T20I,null
#TrueBloodPump,null
#GiftOfLife,null
#ThankYouKejriwal,25729
#따뜻하다_범규생일이_오려나봐,252594
#RealHero,null
#50DaysToTHALA50Festival,312388
#DonateBloodSaveLives,null
#EXOFREEDOM,74978
#T20Cricket,null
#AskKV,null
#NextToRM,48369
#YuvrajSingh,null
#ZomatoDeliveryGuy,23001
#RoadSafetyWorldSeries2021,null
#100DForதளபதிVIJAYBday,368273
#7YearsOfJANASENA,151186
Amey,null
Ziyech,17831
Chilwell,11230
Mendy,19592
BHOI THE FOOTPATH DRIVER,14076
Leeds,57853
Tuchel,23981
Pulisic,18134
Arthiyas,null
ASIM X SHIVALEEKA COMING SOON,57392
Yashwant Sinha,15000
Kolkata On Roads 4 SSR,137214
we love you aly,75908
Sri Lanka,17137
Thalapathy,80621
Havertz,16171
PROUD OF NIALL,107564
Kante,10276
Kandahar,null
PSBs,null
Tamils,null
Shiv Sena,null
Quran,56736
Salman Khan,25818
#StopSellingIndia,62803
#INDLvsSAL,null
#PushpaRajRampageSoon,117358
#SachinTendulkar,null
#MCFCATKMB,null
#Yuvi,null
#SCST_ARE_NOT_HINDU,20371
#GiftOfTrueLife,null
#HelpForLostPeople,null
#TrueLifeInitiative,null
#SpiritOfGenerosity,null
#HeroISLFinal,null
#SaintDrGurmeetRamRahimJi,null
#LetsCrackIT,null
#TellMeWhyRG,null
#puneethrajkumarbdaycdp,175260
#SexyCutieLeaderJihoonDay,861286
#지훈이의_스물두번째_봄을_축하해,873776
#HappyBirthdayAamirKhan,28052
#BheemUnleashesIn7Months,70137
#LEECHE,40974
#INDvENG,98205
#IshanKishan,null
#ViratKohli,12636
Lamela,121242
#ARSTOT,71063
#StrikeToSaveIndia,121018
Ben Stokes,null
Grammys,1126729
Tanmays Superchat,null
9 Months Fighting 4 SSR,54140
Rabona,33774
Doherty,16687
Rohit,42237
Laca,null
Tierney,13741
Jharkhand,23200
KL Rahul,null
Depay,23574
Auba,12589
KHKT LIVES ON,14963
Spurs,46237
Tom Curran,null
Mumbai Indians,null
Chase Master,null
Babri Demolition,null
Dhawan,null
sehun,92415
Odegaard,10137
Arteta,20790
Debut,591186
Saka,60873
ईशान किशन,null
Quran Sharif,55413
Memphis,21437
Hardik,null
Shardul thakur,null
Vaughan,null
Buttler,null
Sam Curran,null
Bhuvi,null
Fielding,null
Bumrah,null
Cedric,10867
Mourinho,10008
Cristiano,58439
#TeamIndia,19117
#FakeTheoryInIslamOnRebirth,290160
#AskHimesh,null
#LightItUpBTS,81252
#HappyBirthdayAliaBhatt,11023
