,name,url,promoted_content,query,tweet_volume
0,#INDvENG,http://twitter.com/search?q=%23INDvENG,,%23INDvENG,56889.0
1,#1YearWithSweetNight,http://twitter.com/search?q=%231YearWithSweetNight,,%231YearWithSweetNight,288307.0
2,#OurProducerBeomgyu,http://twitter.com/search?q=%23OurProducerBeomgyu,,%23OurProducerBeomgyu,565357.0
3,Kohli,http://twitter.com/search?q=Kohli,,Kohli,42019.0
4,Say No To Bollywood,http://twitter.com/search?q=%22Say+No+To+Bollywood%22,,%22Say+No+To+Bollywood%22,41626.0
5,#INDvsENG_2021,http://twitter.com/search?q=%23INDvsENG_2021,,%23INDvsENG_2021,
6,Rohit,http://twitter.com/search?q=Rohit,,Rohit,37391.0
7,#6YearsWithAwakening,http://twitter.com/search?q=%236YearsWithAwakening,,%236YearsWithAwakening,69413.0
8,Jason Roy,http://twitter.com/search?q=%22Jason+Roy%22,,%22Jason+Roy%22,
9,England,http://twitter.com/search?q=England,,England,103170.0
10,Dhawan,http://twitter.com/search?q=Dhawan,,Dhawan,
11,Iyer,http://twitter.com/search?q=Iyer,,Iyer,11818.0
12,Pant,http://twitter.com/search?q=Pant,,Pant,20035.0
13,Bairstow,http://twitter.com/search?q=Bairstow,,Bairstow,
14,YAAD TERI HITS 40M,http://twitter.com/search?q=%22YAAD+TERI+HITS+40M%22,,%22YAAD+TERI+HITS+40M%22,85747.0
15,Archer,http://twitter.com/search?q=Archer,,Archer,17214.0
16,Maths and Physics,http://twitter.com/search?q=%22Maths+and+Physics%22,,%22Maths+and+Physics%22,
17,Happy 1,http://twitter.com/search?q=%22Happy+1%22,,%22Happy+1%22,692506.0
18,Ayurveda,http://twitter.com/search?q=Ayurveda,,Ayurveda,14425.0
19,ARIJIT SINGH TURNS COMPOSER,http://twitter.com/search?q=%22ARIJIT+SINGH+TURNS+COMPOSER%22,,%22ARIJIT+SINGH+TURNS+COMPOSER%22,11722.0
20,tom holland,http://twitter.com/search?q=%22tom+holland%22,,%22tom+holland%22,72495.0
21,AAMIR KHAN BIRTHDAY CDP,http://twitter.com/search?q=%22AAMIR+KHAN+BIRTHDAY+CDP%22,,%22AAMIR+KHAN+BIRTHDAY+CDP%22,15123.0
22,Morgan,http://twitter.com/search?q=Morgan,,Morgan,75276.0
23,Buttler,http://twitter.com/search?q=Buttler,,Buttler,
24,Chahal,http://twitter.com/search?q=Chahal,,Chahal,
25,MOST GOOGLED STAR ASIM,http://twitter.com/search?q=%22MOST+GOOGLED+STAR+ASIM%22,,%22MOST+GOOGLED+STAR+ASIM%22,168954.0
26,Hardik,http://twitter.com/search?q=Hardik,,Hardik,
27,Malan,http://twitter.com/search?q=Malan,,Malan,
28,Indo-Pacific,http://twitter.com/search?q=Indo-Pacific,,Indo-Pacific,
29,Engineering,http://twitter.com/search?q=Engineering,,Engineering,38364.0
30,Jordan,http://twitter.com/search?q=Jordan,,Jordan,138880.0
31,Match,http://twitter.com/search?q=Match,,Match,204676.0
32,Ishan Kishan,http://twitter.com/search?q=%22Ishan+Kishan%22,,%22Ishan+Kishan%22,
33,Gautam Adani,http://twitter.com/search?q=%22Gautam+Adani%22,,%22Gautam+Adani%22,
34,T-20,http://twitter.com/search?q=T-20,,T-20,108868.0
35,Washi,http://twitter.com/search?q=Washi,,Washi,
36,Rashid,http://twitter.com/search?q=Rashid,,Rashid,
37,#어여쁜_꽃처럼_피어난_범규의_스물하나,http://twitter.com/search?q=%23%EC%96%B4%EC%97%AC%EC%81%9C_%EA%BD%83%EC%B2%98%EB%9F%BC_%ED%94%BC%EC%96%B4%EB%82%9C_%EB%B2%94%EA%B7%9C%EC%9D%98_%EC%8A%A4%EB%AC%BC%ED%95%98%EB%82%98,,%23%EC%96%B4%EC%97%AC%EC%81%9C_%EA%BD%83%EC%B2%98%EB%9F%BC_%ED%94%BC%EC%96%B4%EB%82%9C_%EB%B2%94%EA%B7%9C%EC%9D%98_%EC%8A%A4%EB%AC%BC%ED%95%98%EB%82%98,229207.0
38,#T20I,http://twitter.com/search?q=%23T20I,,%23T20I,
39,#TrueBloodPump,http://twitter.com/search?q=%23TrueBloodPump,,%23TrueBloodPump,
40,#GiftOfLife,http://twitter.com/search?q=%23GiftOfLife,,%23GiftOfLife,
41,#ThankYouKejriwal,http://twitter.com/search?q=%23ThankYouKejriwal,,%23ThankYouKejriwal,25729.0
42,#따뜻하다_범규생일이_오려나봐,http://twitter.com/search?q=%23%EB%94%B0%EB%9C%BB%ED%95%98%EB%8B%A4_%EB%B2%94%EA%B7%9C%EC%83%9D%EC%9D%BC%EC%9D%B4_%EC%98%A4%EB%A0%A4%EB%82%98%EB%B4%90,,%23%EB%94%B0%EB%9C%BB%ED%95%98%EB%8B%A4_%EB%B2%94%EA%B7%9C%EC%83%9D%EC%9D%BC%EC%9D%B4_%EC%98%A4%EB%A0%A4%EB%82%98%EB%B4%90,252594.0
43,#RealHero,http://twitter.com/search?q=%23RealHero,,%23RealHero,
44,#50DaysToTHALA50Festival,http://twitter.com/search?q=%2350DaysToTHALA50Festival,,%2350DaysToTHALA50Festival,312388.0
45,#DonateBloodSaveLives,http://twitter.com/search?q=%23DonateBloodSaveLives,,%23DonateBloodSaveLives,
46,#EXOFREEDOM,http://twitter.com/search?q=%23EXOFREEDOM,,%23EXOFREEDOM,74978.0
47,#T20Cricket,http://twitter.com/search?q=%23T20Cricket,,%23T20Cricket,
48,#AskKV,http://twitter.com/search?q=%23AskKV,,%23AskKV,
49,#NextToRM,http://twitter.com/search?q=%23NextToRM,,%23NextToRM,48369.0
