Created At,Text
09-03-2021 23:59,"b""RT @beatlesstory: Happy Birthday Suga! \xf0\x9f\x8e\x89\n\nSuga's South Korean boy band @bts_bighit became the fastest group since\xc2\xa0@thebeatles to earn four\xe2\x80\xa6"""
09-03-2021 23:59,"b'@Barnie_Replys @bts_bighit Check your sock'"
09-03-2021 23:59,"b'RT @schwarmmysays: @mrkate @bts_bighit Lots of purple, galaxy stuff (namjoon has hand-written the image below for their concert vcr at the\xe2\x80\xa6'"
09-03-2021 23:59,"b""RT @beatlesstory: Happy Birthday Suga! \xf0\x9f\x8e\x89\n\nSuga's South Korean boy band @bts_bighit became the fastest group since\xc2\xa0@thebeatles to earn four\xe2\x80\xa6"""
09-03-2021 23:59,"b'RT @mollajoon: how do you except bighit artists not to be chaotic when their own ceo is like this https://t.co/1oNV5PybJr'"
09-03-2021 23:59,"b'RT @hewwotae: interviewer: why do you want to work at bighit?\nme: pfft definitely not to witness kim taehyung in his shirtless glory anyway\xe2\x80\xa6'"
09-03-2021 23:59,"b'RT @IFPI_org: #10 @BTS_bighit \xe2\x80\x93 Dynamite\n\nThe all-conquering first English-language single from South Korea\xe2\x80\x99s @BTS_twt Dynamite was release\xe2\x80\xa6'"
09-03-2021 23:59,"b'@soompi I\'ll just say that ""STILL DREAMING"" is a gem\xe2\x9c\xa8.\n\n\xf0\x9f\x93\x8e \n https://t.co/vU3jrLjdbG\n\n@TXT_members @TXT_bighit \n#TOMORROW_X_TOGETHER'"
09-03-2021 23:59,"b'@fqrtxt 6ta: New Rules \n\n#TXT_HUENINGKAI #TXT_\xed\x9c\xb4\xeb\x8b\x9d\xec\xb9\xb4\xec\x9d\xb4 #TOMORROW_X_TOGETHER #TXT #\xed\x88\xac\xeb\xaa\xa8\xeb\xa1\x9c\xec\x9a\xb0\xeb\xb0\x94\xec\x9d\xb4\xed\x88\xac\xea\xb2\x8c\xeb\x8d\x94 @TXT_members @TXT_bighit'"
09-03-2021 23:59,"b'RT @IFPI_org: #10 @BTS_bighit \xe2\x80\x93 Dynamite\n\nThe all-conquering first English-language single from South Korea\xe2\x80\x99s @BTS_twt Dynamite was release\xe2\x80\xa6'"
09-03-2021 23:59,"b'RT @ARMYTEAMIID: [\xf0\x9f\x92\x9c]\n\nPhoto from bts bighit facebook\n\n# Suga Happy Birthday \n\n#\xeb\xb0\xa9\xed\x83\x84\xec\x86\x8c\xeb\x85\x84\xeb\x8b\xa8 #BTS @BTS_twt https://t.co/Ac1sBm012P'"
09-03-2021 23:59,"b'RT @IFPI_org: #10 @BTS_bighit \xe2\x80\x93 Dynamite\n\nThe all-conquering first English-language single from South Korea\xe2\x80\x99s @BTS_twt Dynamite was release\xe2\x80\xa6'"
09-03-2021 23:59,"b""RT @beatlesstory: Happy Birthday Suga! \xf0\x9f\x8e\x89\n\nSuga's South Korean boy band @bts_bighit became the fastest group since\xc2\xa0@thebeatles to earn four\xe2\x80\xa6"""
09-03-2021 23:59,"b'RT @MonicaYadav08: I spoke to @TXT_members about their 2 -year journey, their growth as artists, how fans resonate to their music, storytel\xe2\x80\xa6'"
09-03-2021 23:59,"b'RT @HaneenK97690632: TREAT JIN FAIRLY\nBigHit! We love all the members equally, and all of them  tired and singing together. They raised the\xe2\x80\xa6'"
09-03-2021 23:59,"b'RT @Blobby_bee: Jin is the official visualist of Bangtan and is a Grammy acclaimed vocalist. Give him what he deserves! Let him act, give h\xe2\x80\xa6'"
09-03-2021 23:59,"b'RT @txtdaebak: [ BEOMGYU\xe2\x80\x99S BIRTHDAY LAYOUTS ]\n\ni made a birthday layouts for beomgyu, feel free to use it if you like ! \xe2\x9d\xa4\xef\xb8\x8f\xf0\x9f\x90\xbb\n\n@TXT_members @\xe2\x80\xa6'"
09-03-2021 23:59,"b'@BeomieKkyu @TXT_members @TXT_bighit They are joking right?? Impossible'"
09-03-2021 23:59,"b'RT @AmericanIdol: As a proud member of the #BTSArmy, @AnthonyJamesKey pays tribute to BTS (@bts_bighit) with an audition performance of the\xe2\x80\xa6'"
09-03-2021 23:59,"b'RT @jeondrafts: BIGHIT CLOSE THE SWIMMING POOLS! https://t.co/Ott2dm5FSY'"
09-03-2021 23:59,"b""RT @beatlesstory: Happy Birthday Suga! \xf0\x9f\x8e\x89\n\nSuga's South Korean boy band @bts_bighit became the fastest group since\xc2\xa0@thebeatles to earn four\xe2\x80\xa6"""
09-03-2021 23:59,"b'RT @IFPI_org: #10 @BTS_bighit \xe2\x80\x93 Dynamite\n\nThe all-conquering first English-language single from South Korea\xe2\x80\x99s @BTS_twt Dynamite was release\xe2\x80\xa6'"
09-03-2021 23:59,"b'RT @TSwiftNZ: \xf0\x9f\x92\xac | \xe2\x80\x9cWe\xe2\x80\x99re nervous and frankly not expecting so much cause we don\xe2\x80\x99t want to get disappointed. Cause ya know, Lady Gaga, Taylo\xe2\x80\xa6'"
09-03-2021 23:59,"b""RT @thetaeprint: [VIDEO] Q. What are the factors that have helped you reach these goals you have set in last 7 years? \n\n\xf0\x9f\x90\xaf: Wouldn't it be A\xe2\x80\xa6"""
09-03-2021 23:59,"b'RT @IFPI_org: #10 @BTS_bighit \xe2\x80\x93 Dynamite\n\nThe all-conquering first English-language single from South Korea\xe2\x80\x99s @BTS_twt Dynamite was release\xe2\x80\xa6'"
09-03-2021 23:59,"b""RT @thetaeprint: [VIDEO] Q. What are the factors that have helped you reach these goals you have set in last 7 years? \n\n\xf0\x9f\x90\xaf: Wouldn't it be A\xe2\x80\xa6"""
09-03-2021 23:59,"b'RT @huekaphoria: Do u see the VISION?\n\n@TXT_members #HUENINGKAI #\xed\x9c\xb4\xeb\x8b\x9d\xec\xb9\xb4\xec\x9d\xb4 @TXT_bighit https://t.co/MR0PLiW9hy'"
09-03-2021 23:59,"b'RT @mrkate: Decorating a @bts_bighit inspired room for an adult fan! #BTS #BTSARMY what elements should we try to work in? Any stan secrets?'"
09-03-2021 23:59,"b'RT @IFPI_org: #10 @BTS_bighit \xe2\x80\x93 Dynamite\n\nThe all-conquering first English-language single from South Korea\xe2\x80\x99s @BTS_twt Dynamite was release\xe2\x80\xa6'"
09-03-2021 23:59,"b'RT @IFPI_org: #10 @BTS_bighit \xe2\x80\x93 Dynamite\n\nThe all-conquering first English-language single from South Korea\xe2\x80\x99s @BTS_twt Dynamite was release\xe2\x80\xa6'"
09-03-2021 23:59,"b'@fqrtxt 5ta: Cat and dog \n\n#TXT_HUENINGKAI #TXT_\xed\x9c\xb4\xeb\x8b\x9d\xec\xb9\xb4\xec\x9d\xb4 #TOMORROW_X_TOGETHER #TXT #\xed\x88\xac\xeb\xaa\xa8\xeb\xa1\x9c\xec\x9a\xb0\xeb\xb0\x94\xec\x9d\xb4\xed\x88\xac\xea\xb2\x8c\xeb\x8d\x94 @TXT_members @TXT_bighit'"
09-03-2021 23:59,"b""RT @beatlesstory: Happy Birthday Suga! \xf0\x9f\x8e\x89\n\nSuga's South Korean boy band @bts_bighit became the fastest group since\xc2\xa0@thebeatles to earn four\xe2\x80\xa6"""
09-03-2021 23:59,"b'RT @Bollyhungama: EXCLUSIVE: @TXT_bighit reigns supreme with their whimsical journey\xc2\xa0\n\n@TXT_members @BigHitEnt #TXT #TOMORROW_X_TOGETHER #T\xe2\x80\xa6'"
09-03-2021 23:59,"b'@bts_bighit    @BigHitEnt_JP   TREAT JIN FAIRLY\xf0\x9f\xa5\xba\xf0\x9f\xa5\xba https://t.co/knkHwmfWo9'"
09-03-2021 23:59,"b'@mint_chocoChoi @TXT_members @TXT_bighit Thank you bestie'"
09-03-2021 23:59,"b'RT @taetevids: q. what would you say are some of the factors over the last seven plus years that have helped you reached these goals and co\xe2\x80\xa6'"
09-03-2021 23:59,"b'RT @seoknatural: - Let\xe2\x80\x99s be honest. BigHit could easily push him in the OST direction or debut him as an actor if they wanted, but no.'"
09-03-2021 23:59,"b'RT @Walmart: @bts_bighit Playing \xe2\x80\x9c28\xe2\x80\x9d on repeat all day. Happy birthday, Suga! \xf0\x9f\x8e\x88'"
09-03-2021 23:59,"b'RT @epiphany_yess: ""GO GO BTS"" COUNTDOWN  alcanzo 110M de vist@s en Y0utube.\n\n( https://t.co/oOoIqCD76T)\n\nI choose @BTS_twt @bts_bighit for\xe2\x80\xa6'"
09-03-2021 23:59,"b'RT @Malakam03329807: #TREAT_JIN_FAIRLY\nThey are seven, they have grown up together seven,we loved the seven boys.They got tired and achieve\xe2\x80\xa6'"
09-03-2021 23:59,"b'RT @IFPI_org: #10 @BTS_bighit \xe2\x80\x93 Dynamite\n\nThe all-conquering first English-language single from South Korea\xe2\x80\x99s @BTS_twt Dynamite was release\xe2\x80\xa6'"
